Order ID,Total weight as per X (KG),Total weight as per Courier Company (KG),Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
2001806210,27.28000000000001,724.1600000000002,2728.000000000001,43276.0,-40548.0
2001806226,59.52000000000001,84.32000000000001,5952.000000000001,11184.800000000007,-5232.800000000006
2001806229,62.0,264.11999999999995,6200.0,33554.40000000001,-27354.40000000001
2001806232,161.44799999999998,322.4000000000001,16144.799999999997,33480.0,-17335.200000000004
2001806233,30.379999999999992,193.44,3037.999999999999,15202.399999999996,-12164.399999999998
2001806251,30.379999999999992,314.9599999999999,3037.999999999999,33480.0,-30442.0
2001806273,76.26000000000002,496.0,7626.000000000002,44739.20000000001,-37113.20000000001
2001806304,62.0,264.11999999999995,6200.0,33554.40000000001,-27354.40000000001
2001806338,62.0,260.40000000000003,6200.0,33554.40000000001,-27354.40000000001
2001806408,280.86,1240.0,28086.0,111401.59999999998,-83315.59999999998
2001806446,62.0,256.67999999999995,6200.0,33554.40000000001,-27354.40000000001
2001806458,86.79999999999998,248.0,8679.999999999998,15202.399999999996,-6522.399999999998
2001806471,201.00400000000002,1475.5999999999997,20100.4,156066.40000000002,-135966.00000000003
2001806533,62.0,252.95999999999998,6200.0,33554.40000000001,-27354.40000000001
2001806547,15.748000000000003,124.0,1574.8000000000002,7601.199999999999,-6026.399999999999
2001806567,118.048,863.04,11804.8,100440.0,-88635.2
2001806575,62.0,252.95999999999998,6200.0,22803.6,-16603.6
2001806616,119.412,803.5200000000001,11941.2,66662.40000000001,-54721.20000000001
2001806652,62.0,256.67999999999995,6200.0,33554.40000000001,-27354.40000000001
2001806686,29.760000000000005,18.59999999999999,2976.0000000000005,5629.599999999997,-2653.5999999999963
2001806726,62.0,252.95999999999998,6200.0,33554.40000000001,-27354.40000000001
2001806733,119.90800000000002,700.5999999999999,11990.800000000001,83700.0,-71709.2
2001806735,62.0,256.67999999999995,6200.0,33554.40000000001,-27354.40000000001
2001806768,104.16000000000001,126.47999999999995,10416.000000000002,16740.0,-6323.999999999998
2001806776,75.76400000000001,1063.92,7576.4000000000015,64914.0,-57337.6
2001806801,44.76400000000001,334.80000000000007,4476.4000000000015,22220.799999999996,-17744.399999999994
2001806823,15.748000000000003,73.16000000000001,1574.8000000000002,11184.800000000007,-9610.000000000007
2001806828,62.0,256.67999999999995,6200.0,33554.40000000001,-27354.40000000001
2001806885,104.16,248.0,10416.0,15202.399999999996,-4786.399999999996
2001806968,62.0,252.95999999999998,6200.0,33554.40000000001,-27354.40000000001
2001807004,62.0,252.95999999999998,6200.0,33554.40000000001,-27354.40000000001
2001807012,29.760000000000005,18.59999999999999,2976.0000000000005,5629.599999999997,-2653.5999999999963
2001807036,180.91600000000005,813.4400000000002,18091.600000000006,89180.80000000002,-71089.20000000001
2001807058,144.832,855.6000000000001,14483.199999999999,66662.40000000001,-52179.20000000001
2001807084,62.0,249.24,6200.0,33554.40000000001,-27354.40000000001
2001807186,62.0,186.0,6200.0,16888.799999999996,-10688.799999999996
2001807241,75.268,293.88000000000005,7526.8,33554.40000000001,-26027.60000000001
2001807290,62.0,186.0,6200.0,16888.799999999996,-10688.799999999996
2001807328,60.760000000000026,282.7199999999999,6076.000000000003,27850.399999999987,-21774.399999999983
2001807329,62.0,271.56000000000006,6200.0,33554.40000000001,-27354.40000000001
2001807362,249.984,1240.0,24998.4,111475.99999999999,-86477.59999999998
2001807415,129.95200000000003,372.0,12995.200000000003,22803.6,-9808.399999999996
2001807613,102.92000000000002,386.87999999999994,10292.000000000002,50220.0,-39928.0
2001807785,62.0,252.95999999999998,6200.0,33554.40000000001,-27354.40000000001
2001807814,75.268,293.88000000000005,7526.8,22803.6,-15276.8
2001807852,62.0,275.28000000000003,6200.0,33554.40000000001,-27354.40000000001
2001807930,29.760000000000005,18.59999999999999,2976.0000000000005,5629.599999999997,-2653.5999999999963
2001807931,75.268,267.8399999999999,7526.8,33554.40000000001,-26027.60000000001
2001807956,133.92000000000002,535.6800000000001,13392.000000000002,44441.59999999999,-31049.59999999999
2001807960,115.32000000000004,496.0,11532.000000000004,44739.20000000001,-33207.20000000001
2001807970,94.85999999999997,1024.2400000000002,9485.999999999996,100142.40000000002,-90656.40000000002
2001807976,89.40400000000002,347.19999999999993,8940.400000000003,85708.80000000002,-76768.40000000001
2001807981,62.0,186.0,6200.0,16888.799999999996,-10688.799999999996
2001808102,143.46800000000002,952.3199999999999,14346.800000000001,100440.0,-86093.2
2001808118,42.532,186.0,4253.2,12276.0,-8022.8
2001808207,75.268,293.88000000000005,7526.8,33554.40000000001,-26027.60000000001
2001808286,74.52400000000002,286.43999999999994,7452.4000000000015,33554.40000000001,-26102.000000000007
2001808295,30.379999999999992,49.60000000000001,3037.999999999999,26610.399999999994,-23572.399999999994
2001808475,62.0,260.40000000000003,6200.0,33554.40000000001,-27354.40000000001
2001808507,75.268,293.88000000000005,7526.8,22803.6,-15276.8
2001808542,91.01600000000002,213.27999999999997,9101.600000000002,22369.600000000006,-13268.000000000004
2001808585,62.0,267.8399999999999,6200.0,22803.6,-16603.6
2001808675,146.692,892.7999999999998,14669.2,66662.40000000001,-51993.20000000001
2001808679,62.0,267.8399999999999,6200.0,33554.40000000001,-27354.40000000001
2001808739,27.28000000000001,404.2399999999998,2728.000000000001,44590.40000000001,-41862.40000000001
2001808801,90.644,396.80000000000007,9064.400000000001,44739.20000000001,-35674.80000000001
2001808832,74.39999999999996,306.2800000000001,7439.999999999996,27850.399999999987,-20410.39999999999
2001808837,62.0,249.24,6200.0,33554.40000000001,-27354.40000000001
2001808883,62.0,267.8399999999999,6200.0,33554.40000000001,-27354.40000000001
2001808992,62.0,267.8399999999999,6200.0,33554.40000000001,-27354.40000000001
2001809270,62.0,252.95999999999998,6200.0,33554.40000000001,-27354.40000000001
2001809383,75.268,186.0,7526.8,32252.400000000012,-24725.600000000013
2001809592,186.62000000000006,744.0,18662.000000000007,44441.59999999999,-25779.599999999984
2001809794,188.108,1302.0,18810.8,117180.0,-98369.2
2001809820,381.9200000000001,5208.0,38192.00000000001,467678.4000000001,-429486.4000000001
2001809917,78.12,223.19999999999996,7812.0,64281.59999999999,-56469.59999999999
2001809934,44.76400000000001,203.36000000000004,4476.4000000000015,22369.600000000006,-17893.200000000004
2001810104,74.52400000000002,282.71999999999997,7452.4000000000015,33554.40000000001,-26102.000000000007
2001810125,62.0,245.52000000000004,6200.0,33554.40000000001,-27354.40000000001
2001810281,62.0,252.95999999999998,6200.0,33554.40000000001,-27354.40000000001
2001810549,122.26400000000004,922.5599999999998,12226.400000000003,89180.80000000002,-76954.40000000001
2001810697,75.268,844.4399999999999,7526.8,83551.19999999998,-76024.39999999998
